run_id,strategy,pesticide_threshold,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
threshold_73,threshold,0.2,1,3.6538044394743396,0.3537731605256608,10,14961.41331842302,100.0
threshold_72,threshold,0.2,1,3.6952439481815804,0.3123336518184185,9,15185.731844544742,100.0
threshold_75,threshold,0.2,2,3.658459847608073,0.349117752391928,9,25158.441517974505,100.0
threshold_74,threshold,0.2,2,3.6644634966535152,0.34311410334648457,10,25180.473710957434,100.0
threshold_73,threshold,0.2,2,3.6532084652501315,0.3543691347498701,10,24921.038714173414,100.0
threshold_72,threshold,0.2,2,3.6883727961595634,0.3192048038404364,9,25350.850233023433,100.0
threshold_75,threshold,0.2,3,3.641666176855516,0.3659114231444831,10,35083.44004854105,100.0
threshold_74,threshold,0.2,3,3.6943617227578827,0.31321587724211697,9,35363.55887923108,100.0
threshold_73,threshold,0.2,3,3.657932403458297,0.34964519654170284,10,34894.8359245483,100.0
threshold_72,threshold,0.2,3,3.6320579819193712,0.3755196180806259,10,35247.02417878155,100.0
threshold_78,threshold,0.2,1,3.6467080765315747,0.3608695234684252,10,14940.124229594725,100.0
threshold_77,threshold,0.2,1,3.6642911277217474,0.34328647227825443,10,14992.873383165243,100.0
threshold_76,threshold,0.2,1,3.6549666354094392,0.3526109645905609,10,14964.899906228318,100.0
threshold_79,threshold,0.2,1,3.6332312695894275,0.3743463304105735,10,14899.693808768283,100.0
threshold_78,threshold,0.2,2,3.66611234701478,0.34146525298522046,10,24938.461270639065,100.0
threshold_77,threshold,0.2,2,3.6342440758523082,0.37333352414769333,10,24895.605610722167,100.0
threshold_76,threshold,0.2,2,3.613841369486071,0.39373623051392886,10,24806.42401468653,100.0
threshold_79,threshold,0.2,2,3.6891942731890084,0.3183833268109929,9,25067.27662833531,100.0
threshold_78,threshold,0.2,3,3.6468433806170326,0.36073421938296807,10,34878.99141249016,100.0
threshold_77,threshold,0.2,3,3.6632864986017535,0.34429110139824753,9,34985.46510652742,100.0
threshold_76,threshold,0.2,3,3.6771039791739693,0.330473620826031,10,34837.73595220844,100.0
threshold_79,threshold,0.2,3,3.649662875828722,0.3579147241712763,9,35116.265255821476,100.0
threshold_83,threshold,0.3,1,3.5729171469303447,0.43466045306965717,8,14918.751440791035,100.0
threshold_82,threshold,0.3,1,3.5933518231132173,0.41422577688678297,8,14980.055469339652,100.0
