run_id,plot_strategy,plot_pesticide,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
threshold_1,calendar,etofenprox,1,4,3,3.1683581983131326,0.839219401686867,5,0.0525,110.6
threshold_1,threshold,neonicotinoid,1,5,3,3.3190390925092665,0.6885385074907339,10,0.32499999999999996,100.0
threshold_1,calendar,etofenprox,1,6,3,3.13437214059309,0.8732054594069094,5,0.0525,110.6
threshold_1,threshold,neonicotinoid,1,7,3,3.232835171579207,0.7747424284207927,10,0.32499999999999996,100.0
threshold_1,none,neonicotinoid,1,8,3,2.386626065096586,1.620951534903415,0,0.0,100.0
threshold_1,threshold,neonicotinoid,1,9,3,3.3083793027230675,0.6991982972769332,10,0.32499999999999996,100.0
threshold_1,calendar,neonicotinoid,1,0,4,3.1663123207192383,0.8412652792807623,5,0.0875,100.0
threshold_1,none,etofenprox,1,1,4,2.438546300302652,1.5690312996973474,0,0.0,110.6
threshold_1,calendar,etofenprox,1,2,4,3.028862990954412,0.9787146090455893,5,0.0525,110.6
threshold_1,calendar,neonicotinoid,1,3,4,3.2362629388317043,0.7713146611682952,5,0.0875,100.0
threshold_1,calendar,neonicotinoid,1,4,4,3.2399031670927427,0.767674432907258,5,0.0875,100.0
threshold_1,calendar,etofenprox,1,5,4,3.154073351549481,0.8535042484505183,5,0.0525,110.6
threshold_1,threshold,neonicotinoid,1,6,4,3.377969838210982,0.6296077617890157,9,0.26249999999999996,100.0
threshold_1,calendar,neonicotinoid,1,7,4,3.1250282079430116,0.882549392056989,5,0.0875,100.0
threshold_1,none,etofenprox,1,8,4,2.4790045413226935,1.5285730586773065,0,0.0,110.6
threshold_1,calendar,etofenprox,1,9,4,3.1597448292277237,0.8478327707722757,5,0.0525,110.6
threshold_1,calendar,etofenprox,1,0,5,3.176796353379057,0.8307812466209427,5,0.0525,110.6
threshold_1,none,etofenprox,1,1,5,2.4038229668983133,1.6037546331016868,0,0.0,110.6
threshold_1,threshold,etofenprox,1,2,5,3.210343691826249,0.7972339081737507,9,0.1575,110.6
threshold_1,calendar,neonicotinoid,1,3,5,3.1661375638439795,0.8414400361560219,5,0.0875,100.0
threshold_1,calendar,neonicotinoid,1,4,5,3.2002217221706135,0.8073558778293878,5,0.0875,100.0
threshold_1,calendar,etofenprox,1,5,5,3.166745778093556,0.8408318219064441,5,0.0525,110.6
threshold_1,threshold,etofenprox,1,6,5,3.391956269628877,0.6156213303711244,10,0.195,110.6
threshold_1,threshold,neonicotinoid,1,7,5,3.3954336582885647,0.6121439417114329,10,0.32499999999999996,100.0
threshold_1,calendar,etofenprox,1,8,5,3.0713250924151163,0.9362525075848832,5,0.0525,110.6
threshold_1,calendar,neonicotinoid,1,9,5,3.2816885857444125,0.7258890142555885,5,0.0875,100.0
threshold_1,threshold,etofenprox,1,0,6,3.3965279979432075,0.6110496020567929,9,0.1575,110.6
threshold_1,threshold,etofenprox,1,1,6,3.1690217949688964,0.8385558050311035,10,0.195,110.6
threshold_1,calendar,etofenprox,1,2,6,2.9678744164423385,1.0397031835576602,5,0.0525,110.6
threshold_1,threshold,etofenprox,1,3,6,3.146155424992289,0.8614221750077126,10,0.195,110.6
threshold_1,none,etofenprox,1,4,6,2.482357028743064,1.5252205712569364,0,0.0,110.6
threshold_1,threshold,neonicotinoid,1,5,6,3.308266819856775,0.6993107801432253,10,0.32499999999999996,100.0
threshold_1,threshold,neonicotinoid,1,6,6,3.3757198066650944,0.6318577933349052,10,0.32499999999999996,100.0
threshold_1,threshold,neonicotinoid,1,7,6,3.4476545333759594,0.5599230666240412,10,0.32499999999999996,100.0
threshold_1,calendar,neonicotinoid,1,8,6,3.2001342048923425,0.8074433951076568,5,0.0875,100.0
threshold_1,threshold,etofenprox,1,9,6,3.466081314708481,0.5414962852915202,9,0.1575,110.6
threshold_1,threshold,etofenprox,1,0,7,3.492770291941464,0.5148073080585361,9,0.1575,110.6
threshold_1,threshold,neonicotinoid,1,1,7,3.2987928458294205,0.7087847541705798,10,0.32499999999999996,100.0
threshold_1,none,etofenprox,1,2,7,2.5069878266201155,1.5005897733798836,0,0.0,110.6
threshold_1,none,neonicotinoid,1,3,7,2.4407497336317916,1.566827866368207,0,0.0,100.0
threshold_1,calendar,etofenprox,1,4,7,2.918180095329849,1.0893975046701516,5,0.0525,110.6
threshold_1,none,etofenprox,1,5,7,2.415436224300725,1.5921413756992737,0,0.0,110.6
threshold_1,threshold,neonicotinoid,1,6,7,3.3094047431789444,0.6981728568210569,10,0.32499999999999996,100.0
threshold_1,calendar,etofenprox,1,7,7,3.171312672907928,0.8362649270920725,5,0.0525,110.6
threshold_1,calendar,neonicotinoid,1,8,7,3.174143075387348,0.8334345246126523,5,0.0875,100.0
threshold_1,threshold,etofenprox,1,9,7,3.4474186084423586,0.5601589915576416,9,0.1575,110.6
threshold_1,threshold,neonicotinoid,1,0,8,3.371211339972868,0.6363662600271321,9,0.26249999999999996,100.0
threshold_1,threshold,etofenprox,1,1,8,3.019242309088884,0.988335290911114,10,0.195,110.6
threshold_1,threshold,neonicotinoid,1,2,8,3.1055140802799275,0.9020635197200733,10,0.32499999999999996,100.0
threshold_1,threshold,etofenprox,1,3,8,3.0230849137983187,0.9844926862016807,10,0.195,110.6
threshold_1,calendar,etofenprox,1,4,8,2.833451165725588,1.1741264342744127,5,0.0525,110.6
threshold_1,calendar,neonicotinoid,1,5,8,2.8909973067056014,1.1165802932943987,5,0.0875,100.0
threshold_1,calendar,etofenprox,1,6,8,2.797985239369814,1.2095923606301864,5,0.0525,110.6
threshold_1,threshold,neonicotinoid,1,7,8,3.081104119018326,0.9264734809816737,10,0.32499999999999996,100.0
