run_id,strategy,calendar_interval,season,grain_tha,pest_loss_tha,spray_count,end_money
calendar_38,calendar,7,1,3.493287480027412,0.514290119972588,10,14479.862440082235
calendar_39,calendar,7,1,3.5096432869906256,0.49793431300937635,10,14528.929860971877
calendar_36,calendar,7,1,3.529110595718991,0.47846700428100725,10,14587.331787156974
calendar_37,calendar,7,1,3.508394459348413,0.4991831406515874,10,14525.18337804524
calendar_38,calendar,7,2,3.527883247087467,0.47969435291253126,10,24063.51218134464
calendar_39,calendar,7,2,3.5163845230901023,0.4911930769098965,10,24078.083430242186
calendar_36,calendar,7,2,3.559690045067388,0.4478875549326093,10,24266.40192235914
calendar_37,calendar,7,2,3.5125281232861276,0.49504947671387095,10,24062.76774790362
calendar_38,calendar,7,3,3.4886132977369027,0.5189643022630973,10,33529.35207455535
calendar_39,calendar,7,3,3.5418133200378525,0.4657642799621469,10,33703.523390355746
calendar_36,calendar,7,3,3.5125461286067816,0.4950314713932186,10,33804.04030817948
calendar_37,calendar,7,3,3.4686775670721377,0.5389000329278608,10,33468.80044912003
calendar_42,calendar,10,1,3.3820418597317974,0.6255357402682038,7,14446.125579195392
calendar_43,calendar,10,1,3.2857697239673302,0.7218078760326704,7,14157.30917190199
calendar_40,calendar,10,1,3.2760644194263957,0.7315131805736047,7,14128.193258279187
calendar_41,calendar,10,1,3.3398985583836924,0.6676790416163069,7,14319.695675151077
calendar_42,calendar,10,2,3.3385660494660643,0.6690115505339346,7,23761.823727593583
calendar_43,calendar,10,2,3.255073383745685,0.7525042162543156,7,23222.529323139046
calendar_40,calendar,10,2,3.3193607440251016,0.688216855974899,7,23386.275490354492
calendar_41,calendar,10,2,3.3128809808575843,0.6946966191424153,7,23558.338617723828
calendar_42,calendar,10,3,3.3467399350155187,0.6608376649844798,7,33102.043532640135
calendar_43,calendar,10,3,3.31916039451076,0.688417205489241,7,32480.010506671326
calendar_40,calendar,10,3,3.309790429862499,0.6977871701375021,7,32615.646779941988
calendar_41,calendar,10,3,3.367887923053708,0.6396896769462926,7,32962.00238688495
calendar_46,calendar,10,1,3.290239284821704,0.7173383151782968,7,14170.717854465112
calendar_47,calendar,10,1,3.3482062792721576,0.6593713207278438,7,14344.618837816473
calendar_44,calendar,10,1,3.403015257688163,0.6045623423118374,7,14509.04577306449
calendar_45,calendar,10,1,3.3731537231048936,0.634423876895107,7,14419.46116931468
calendar_46,calendar,10,2,3.326085168288908,0.6814924317110915,7,23448.973359331838
calendar_47,calendar,10,2,3.407305478262166,0.600272121737834,7,23866.53527260297
calendar_44,calendar,10,2,3.3811437003054365,0.6264338996945624,7,23952.4768739808
calendar_45,calendar,10,2,3.34489232346533,0.6626852765346698,7,23754.138139710667
calendar_46,calendar,10,3,3.3956578701452025,0.6119197298547965,7,32935.94696976744
calendar_47,calendar,10,3,3.1679430937170507,0.8396345062829487,7,32670.364553754123
calendar_44,calendar,10,3,3.310583628864293,0.6969939711357083,7,33184.227760573674
calendar_45,calendar,10,3,3.2675837447054374,0.7399938552945627,7,32856.88937382698
calendar_50,calendar,10,1,3.2541052492509532,0.7534723507490462,7,14062.31574775286
calendar_51,calendar,10,1,3.3207408770707376,0.6868367229292633,7,14262.222631212213
calendar_48,calendar,10,1,3.307422969238394,0.7001546307616071,7,14222.26890771518
calendar_49,calendar,10,1,3.3356562103318605,0.671921389668139,7,14306.968630995581
calendar_50,calendar,10,2,3.317823487711797,0.6897541122882033,7,23315.78621088825
calendar_51,calendar,10,2,3.319830432997722,0.6877471670022773,7,23521.71393020538
calendar_48,calendar,10,2,3.3051700971449782,0.7024075028550226,7,23437.779199150114
calendar_49,calendar,10,2,3.3401688373378478,0.6674087626621527,7,23627.475143009127
calendar_50,calendar,10,3,3.3179233831447847,0.6896542168552147,7,32569.556360322604
calendar_51,calendar,10,3,3.228368297088957,0.7792093029110418,7,32506.818821472254
calendar_48,calendar,10,3,3.2761711526410657,0.731406447358934,7,32566.29265707331
calendar_49,calendar,10,3,3.258221782183339,0.7493558178166619,7,32702.140489559144
calendar_54,calendar,10,1,3.245955918189125,0.7616216818108734,7,14037.867754567375
calendar_55,calendar,10,1,3.3044103682201564,0.7031672317798432,7,14213.23110466047
calendar_52,calendar,10,1,3.3803313723535915,0.6272462276464095,7,14440.994117060774
calendar_53,calendar,10,1,3.290763520196512,0.7168140798034877,7,14172.290560589536
calendar_54,calendar,10,2,3.329093664673797,0.6784839353262025,7,23325.148748588766
calendar_55,calendar,10,2,3.2750719243507036,0.732505675649296,7,23338.44687771258
calendar_52,calendar,10,2,3.3416659426338042,0.6659116573661946,7,23765.99194496219
calendar_53,calendar,10,2,3.3223973219529657,0.6851802780470334,7,23439.48252644843
calendar_54,calendar,10,3,3.409582938862357,0.5979946611376431,7,32853.89756517584
calendar_55,calendar,10,3,3.256832436001586,0.7507451639984141,7,32408.944185717337
calendar_52,calendar,10,3,3.4051590005922097,0.6024185994077902,7,33281.468946738816
calendar_53,calendar,10,3,3.342280566823068,0.6652970331769317,7,32766.324226917633
calendar_58,calendar,10,1,3.3820854501902664,0.6254921498097337,7,14446.256350570799
calendar_59,calendar,10,1,3.399831696924374,0.6077459030756261,7,14499.495090773122
calendar_56,calendar,10,1,3.3438801748259013,0.6636974251740996,7,14331.640524477703
calendar_57,calendar,10,1,3.2656893014448163,0.7418882985551841,7,14097.067904334448
calendar_58,calendar,10,2,3.2998263767978897,0.7077512232021116,7,23645.735480964468
calendar_59,calendar,10,2,3.2794366776881465,0.7281409223118559,7,23637.805123837563
