Parameter Sweep,Strategy,Season,Spray Day (Cycle),Pest Load Before,Pest Load After,Cumulative Sprays
thresh02,threshold,2,91,0.74,0.248,2
thresh02,threshold,2,98,0.848,0.27,3
thresh02,threshold,2,105,0.77,0.154,4
thresh02,threshold,2,112,0.654,0.231,5
thresh02,threshold,2,119,0.831,0.266,6
thresh02,threshold,2,126,0.766,0.253,7
thresh02,threshold,2,133,0.753,0.251,8
thresh02,threshold,2,140,0.851,0.27,9
thresh02,threshold,2,147,0.67,0.234,10
thresh02,threshold,3,160,0.6,0.12,1
thresh02,threshold,3,167,0.62,0.224,2
thresh02,threshold,3,174,0.624,0.125,3
thresh02,threshold,3,181,0.625,0.125,4
thresh02,threshold,3,188,0.525,0.205,5
thresh02,threshold,3,195,0.805,0.161,6
thresh02,threshold,3,202,0.661,0.232,7
thresh02,threshold,3,209,0.732,0.146,8
thresh02,threshold,3,216,0.546,0.209,9
thresh02,threshold,3,223,0.609,0.122,10
thresh04,threshold,1,8,0.6,0.22,1
thresh04,threshold,1,15,0.72,0.144,2
thresh04,threshold,1,22,0.444,0.189,3
thresh04,threshold,1,29,0.689,0.238,4
thresh04,threshold,1,36,0.838,0.268,5
thresh04,threshold,1,43,0.768,0.154,6
thresh04,threshold,1,50,0.654,0.231,7
thresh04,threshold,1,57,0.731,0.246,8
thresh04,threshold,1,64,0.646,0.129,9
thresh04,threshold,1,71,0.629,0.126,10
thresh04,threshold,2,87,0.5,0.2,1
thresh04,threshold,2,94,0.7,0.14,2
thresh04,threshold,2,101,0.64,0.128,3
thresh04,threshold,2,108,0.628,0.126,4
thresh04,threshold,2,115,0.626,0.125,5
thresh04,threshold,2,122,0.625,0.125,6
thresh04,threshold,2,129,0.525,0.205,7
thresh04,threshold,2,136,0.705,0.241,8
thresh04,threshold,2,143,0.741,0.248,9
thresh04,threshold,2,150,0.648,0.23,10
thresh04,threshold,3,162,0.5,0.2,1
thresh04,threshold,3,169,0.6,0.22,2
thresh04,threshold,3,176,0.72,0.144,3
thresh04,threshold,3,183,0.644,0.229,4
thresh04,threshold,3,190,0.629,0.226,5
thresh04,threshold,3,197,0.626,0.225,6
thresh04,threshold,3,204,0.725,0.245,7
thresh04,threshold,3,211,0.745,0.149,8
thresh04,threshold,3,218,0.649,0.23,9
thresh04,threshold,3,225,0.73,0.246,10
