run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
calendar_71,calendar,1,2.9966971673873264,1.0108804326126735,5,13490.091502161978,100.0
calendar_70,calendar,1,2.8832552356637833,1.1243223643362172,5,13149.76570699135,100.0
calendar_69,calendar,1,3.0415883506539036,0.9659892493460973,5,13624.765051961711,100.0
calendar_68,calendar,1,2.9641828573898557,1.043394742610145,5,13392.548572169568,100.0
calendar_71,calendar,2,3.0923006460784648,0.9152769539215369,5,22266.993440397375,100.0
calendar_70,calendar,2,2.9037211144688526,1.1038564855311468,5,21360.929050397906,100.0
calendar_69,calendar,2,2.9708629344003925,1.036714665599607,5,22037.353855162888,100.0
calendar_68,calendar,2,3.073839789846967,0.9337378101530328,5,22114.06794171047,100.0
calendar_71,calendar,3,3.0501786809747635,0.9573989190252362,5,30917.529483321665,100.0
calendar_70,calendar,3,2.995463144316502,1.0121144556834987,5,29847.31848334741,100.0
calendar_69,calendar,3,3.0986478600336524,0.9089297399663481,5,30833.297435263845,100.0
calendar_68,calendar,3,2.960848917869977,1.0467286821300241,5,30496.6146953204,100.0
calendar_75,calendar,1,3.050516971338084,0.957060628661915,5,13651.550914014253,100.0
calendar_74,calendar,1,3.0283222053852827,0.9792553946147163,5,13584.966616155849,100.0
calendar_73,calendar,1,3.1155907770695235,0.8919868229304776,5,13846.77233120857,100.0
calendar_72,calendar,1,3.045804542450334,0.9617730575496671,5,13637.413627351001,100.0
calendar_75,calendar,2,3.036197195944435,0.9713804040555646,5,22260.142501847557,100.0
calendar_74,calendar,2,3.0348707999398847,0.9727068000601164,5,22189.579015975505,100.0
calendar_73,calendar,2,2.9136492027273606,1.0939283972726386,5,22087.719939390652,100.0
calendar_72,calendar,2,3.023987112003811,0.9835904879961888,5,22209.374963362432,100.0
calendar_75,calendar,3,3.1908237493915266,0.816753850608473,5,31332.613750022138,100.0
calendar_74,calendar,3,3.0844313957167593,0.9231462042832399,5,30942.873203125782,100.0
calendar_73,calendar,3,3.1100530360050467,0.8975245639949532,5,30917.87904740579,100.0
calendar_72,calendar,3,3.0071506351866617,1.0004269648133381,5,30730.826868922417,100.0
calendar_79,calendar,1,3.1172179077754736,0.8903596922245248,5,13851.65372332642,100.0
calendar_78,calendar,1,3.1239195425353796,0.8836580574646205,5,13871.75862760614,100.0
calendar_77,calendar,1,2.9634744931173147,1.0441031068826852,5,13390.423479351944,100.0
calendar_76,calendar,1,2.9810511146239715,1.0265264853760285,5,13443.153343871914,100.0
calendar_79,calendar,2,3.046583499123078,0.9609941008769233,5,22491.404220695655,100.0
